Beneficiary_Geographic_Level,Beneficiary_Geographic_Description,Beneficiary_Geographic_Code,Beneficiary_Age_Level,Beneficiary_Demographic_Level,Beneficiary_Demographic_Description,Beneficiary_Multiple_Chronic_Condition_Group,Prevalence,Total_Medicare_Standardized_Per_Capita_Spending,Total_Medicare_Per_Capita_Spending,Hospital_Readmission_Rate,"Emergency_Room_Visits_per_1,000_Beneficiaries"
State,Alaska,02,65+,All,All,4 to 5,0.1521,11828.2024,16173.217,0.0962,848.7934
State,Alaska,02,65+,All,All,6+,0.0906,27688.8634,39294.7354,0.1989,2045.9079
State,Alaska,02,65+,Dual Status,Medicare Only,0 to 1,0.5107,1628.7042,1954.1362,0.045,119.0944
State,Alaska,02,65+,Dual Status,Medicare Only,2 to 3,0.2767,5455.2824,6963.1888,0.0545,367.4021
State,Alaska,02,65+,Dual Status,Medicare Only,4 to 5,0.1397,11351.2894,15244.1028,0.0892,773.8834
State,Alaska,02,65+,Dual Status,Medicare Only,6+,0.0729,26907.9924,37426.7922,0.1852,1829.678
State,Alaska,02,65+,Dual Status,Medicare and Medicaid,2 to 3,0.2777,6713.6475,9302.775,0.104,499.3421
State,Alaska,02,65+,Dual Status,Medicare and Medicaid,4 to 5,0.2184,13467.1797,19366.2456,0.1146,1106.2317
State,Alaska,02,65+,Dual Status,Medicare and Medicaid,6+,0.1855,29336.7279,43236.6383,0.2237,2502.2157
State,Alaska,02,<65,All,All,0 to 1,0.48,2645.2074,3143.2463,0.0769,384.5185
State,Alaska,02,<65,All,All,2 to 3,0.2707,8546.3939,11040.5637,0.0944,1127.0348
State,Alaska,02,<65,All,All,4 to 5,0.1505,16142.349,21876.6212,0.1513,1977.0379
State,Alaska,02,<65,All,All,6+,0.0988,36554.4692,51300.6629,0.2489,3845.2797
State,Alaska,02,<65,Dual Status,Medicare Only,4 to 5,0.1155,15470.3822,19735.3369,0.1568,1338.0282
State,Alaska,02,<65,Dual Status,Medicare Only,6+,0.0645,34709.1668,45729.8214,0.2394,2752.1008
State,Alaska,02,<65,Dual Status,Medicare and Medicaid,2 to 3,0.2838,9041.5621,11898.1216,0.0925,1309.2046
State,Alaska,02,<65,Dual Status,Medicare and Medicaid,4 to 5,0.1669,16359.8701,22569.7725,0.1494,2183.8906
State,Alaska,02,<65,Dual Status,Medicare and Medicaid,6+,0.1149,37039.2175,52764.0849,0.2512,4132.4503
State,Alaska,02,All,All,All,0 to 1,0.4805,1822.9275,2202.1402,0.0535,163.5787
State,Alaska,02,All,All,All,2 to 3,0.276,6057.2197,7849.25,0.0701,491.3117
State,Alaska,02,All,All,All,4 to 5,0.1518,12436.7242,16977.6972,0.106,1007.9352
State,Alaska,02,All,All,All,6+,0.0917,29048.2325,41135.6121,0.2079,2321.8067
State,Alaska,02,All,Dual Status,Medicare Only,0 to 1,0.5147,1641.7049,1956.9087,0.0478,123.6437
State,Alaska,02,All,Dual Status,Medicare Only,2 to 3,0.2747,5551.8895,7063.9715,0.0579,383.2576
State,Alaska,02,All,Dual Status,Medicare Only,4 to 5,0.1383,11554.313,15465.4688,0.094,801.6892
State,Alaska,02,All,Dual Status,Medicare Only,6+,0.0724,27318.399,37863.6005,0.1886,1878.2051
State,Alaska,02,All,Dual Status,Medicare and Medicaid,0 to 1,0.367,2666.3693,3343.4901,0.065,349.4429
State,Alaska,02,All,Dual Status,Medicare and Medicaid,2 to 3,0.2803,7700.7397,10403.2649,0.0984,842.7435
State,Alaska,02,All,Dual Status,Medicare and Medicaid,4 to 5,0.1968,14494.0965,20503.5106,0.1274,1488.805
State,Alaska,02,All,Dual Status,Medicare and Medicaid,6+,0.1559,31712.7768,46175.6464,0.2328,3005.1073
State,Alaska,02,65+,Sex,Female,2 to 3,0.2906,5746.1517,7450.0749,0.0576,415.2159
State,Alaska,02,65+,Sex,Female,4 to 5,0.1542,11567.696,15866.5118,0.0799,899.5831
State,Alaska,02,65+,Sex,Female,6+,0.0943,26224.4678,37569.0829,0.1958,2125.0741
State,Alaska,02,<65,Sex,Female,2 to 3,0.2915,8723.9178,11013.3327,0.1008,1126.943
State,Alaska,02,<65,Sex,Female,4 to 5,0.1622,16586.3601,22478.0291,0.1511,2004.6566
State,Alaska,02,<65,Sex,Female,6+,0.1142,35594.4183,49888.3565,0.2409,3699.1736
State,Alaska,02,All,Sex,Female,0 to 1,0.4572,2000.5677,2402.981,0.0369,178.4155
State,Alaska,02,All,Sex,Female,2 to 3,0.2907,6131.184,7910.8127,0.0653,507.2439
State,Alaska,02,All,Sex,Female,4 to 5,0.1552,12243.8303,16757.2416,0.0922,1048.463
State,Alaska,02,All,Sex,Female,6+,0.0969,27649.1524,39442.2069,0.2039,2364.4132
State,Alaska,02,65+,Sex,Male,0 to 1,0.5012,1547.1129,1882.4606,0.0578,116.2203
State,Alaska,02,65+,Sex,Male,2 to 3,0.2624,5545.1704,7193.1851,0.0719,356.63
State,Alaska,02,65+,Sex,Male,4 to 5,0.1498,12110.5073,16505.5865,0.1138,793.7537
State,Alaska,02,65+,Sex,Male,6+,0.0866,29367.7185,41273.1084,0.2024,1955.1478
State,Alaska,02,<65,Sex,Male,2 to 3,0.2531,8373.8974,11067.0235,0.0887,1127.124
State,Alaska,02,<65,Sex,Male,4 to 5,0.1407,15710.4061,21291.5596,0.1515,1950.1699
State,Alaska,02,<65,Sex,Male,6+,0.0859,37632.0773,52885.9048,0.2576,4009.2764
State,Alaska,02,All,Sex,Male,0 to 1,0.5042,1658.5223,2016.263,0.0705,149.8472
State,Alaska,02,All,Sex,Male,2 to 3,0.2609,5973.1288,7779.2585,0.0755,473.1981
State,Alaska,02,All,Sex,Male,4 to 5,0.1484,12642.5982,17212.9876,0.1207,964.6803
State,Alaska,02,All,Sex,Male,6+,0.0865,30647.0089,43070.7239,0.2125,2273.1189
State,Arizona,04,65+,All,All,0 to 1,0.3351,2058.8205,2093.272,0.0468,130.4532
State,Arizona,04,65+,All,All,2 to 3,0.3055,5738.8321,5993.5542,0.0589,337.9857
State,Arizona,04,65+,All,All,4 to 5,0.2171,10776.4824,11494.5097,0.0923,653.5064
State,Arizona,04,65+,All,All,6+,0.1422,27742.5689,30199.7803,0.2019,1726.1355
State,Arizona,04,65+,Dual Status,Medicare Only,0 to 1,0.3355,2070.07,2098.6102,0.0461,126.8948
State,Arizona,04,65+,Dual Status,Medicare Only,2 to 3,0.3095,5701.0949,5937.1641,0.0583,330.169
State,Arizona,04,65+,Dual Status,Medicare Only,4 to 5,0.217,10637.0582,11299.2028,0.0896,637.2358
State,Arizona,04,65+,Dual Status,Medicare Only,6+,0.1379,26938.2383,29200.9973,0.1958,1656.8168
State,Arizona,04,65+,Dual Status,Medicare and Medicaid,0 to 1,0.3291,1902.194,2018.9481,0.0523,179.997
State,Arizona,04,65+,Dual Status,Medicare and Medicaid,2 to 3,0.2514,6373.2232,6941.5163,0.0663,469.3897
State,Arizona,04,65+,Dual Status,Medicare and Medicaid,4 to 5,0.2186,12666.6729,14142.3109,0.1176,874.089
State,Arizona,04,65+,Dual Status,Medicare and Medicaid,6+,0.2009,35282.0275,39561.9548,0.2418,2375.8995
State,Arizona,04,<65,All,All,0 to 1,0.4488,2197.7123,2204.3659,0.0716,324.4517
State,Arizona,04,<65,All,All,2 to 3,0.2609,8531.128,8829.6457,0.1099,891.5347
State,Arizona,04,<65,All,All,4 to 5,0.1679,16402.0476,17563.7478,0.1695,1476.148
State,Arizona,04,<65,All,All,6+,0.1224,39619.6725,43892.8664,0.3061,3541.7573
State,Arizona,04,<65,Dual Status,Medicare Only,0 to 1,0.4698,1995.3491,1883.1577,0.0583,228.029
State,Arizona,04,<65,Dual Status,Medicare Only,2 to 3,0.2622,7531.3271,7386.6462,0.0816,640.9734
State,Arizona,04,<65,Dual Status,Medicare Only,4 to 5,0.1652,14095.644,14468.4894,0.1357,1045.6935
State,Arizona,04,<65,Dual Status,Medicare Only,6+,0.1028,31608.8526,34014.7812,0.2443,2375.0406
State,Arizona,04,<65,Dual Status,Medicare and Medicaid,0 to 1,0.4279,2418.6264,2555.0198,0.0794,429.7136
State,Arizona,04,<65,Dual Status,Medicare and Medicaid,2 to 3,0.2595,9535.2787,10278.9231,0.1311,1143.1862
State,Arizona,04,<65,Dual Status,Medicare and Medicaid,4 to 5,0.1706,18622.6962,20543.9205,0.1918,1890.5976
State,Arizona,04,<65,Dual Status,Medicare and Medicaid,6+,0.142,45385.5889,51002.7771,0.3353,4381.5205
State,Arizona,04,All,All,All,0 to 1,0.3455,2075.2841,2106.4406,0.0517,153.4489
State,Arizona,04,All,All,All,2 to 3,0.3015,5959.325,6217.5055,0.0658,381.6966
State,Arizona,04,All,All,All,4 to 5,0.2126,11181.8811,11931.8811,0.1014,712.7889
State,Arizona,04,All,All,All,6+,0.1404,28687.5444,31289.2405,0.2145,1870.5914
State,Arizona,04,All,Dual Status,Medicare Only,0 to 1,0.3424,2064.8424,2083.5366,0.0473,133.9704
State,Arizona,04,All,Dual Status,Medicare Only,2 to 3,0.3071,5780.7731,6000.2665,0.0598,343.6997
State,Arizona,04,All,Dual Status,Medicare Only,4 to 5,0.2144,10772.9703,11423.7462,0.0921,653.2869
State,Arizona,04,All,Dual Status,Medicare Only,6+,0.1361,27118.0369,29386.3073,0.1981,1684.4654
State,Arizona,04,All,Dual Status,Medicare and Medicaid,0 to 1,0.371,2155.0616,2281.4319,0.0684,302.269
State,Arizona,04,All,Dual Status,Medicare and Medicaid,2 to 3,0.2549,7740.5371,8384.6543,0.1012,760.7481
State,Arizona,04,All,Dual Status,Medicare and Medicaid,4 to 5,0.1982,14843.4011,16481.8861,0.1511,1245.5891
State,Arizona,04,All,Dual Status,Medicare and Medicaid,6+,0.1759,38744.6477,43482.8715,0.2805,3063.2516
State,Arizona,04,65+,Sex,Female,0 to 1,0.3269,2321.8927,2354.6148,0.0497,140.2603
State,Arizona,04,65+,Sex,Female,2 to 3,0.3211,5767.8677,5999.5343,0.0528,348.6742
State,Arizona,04,65+,Sex,Female,4 to 5,0.2149,10712.9517,11367.4756,0.0891,685.0103
State,Arizona,04,65+,Sex,Female,6+,0.1371,26639.1634,28848.2525,0.1947,1762.4043
State,Arizona,04,<65,Sex,Female,0 to 1,0.4058,2737.4343,2702.8109,0.0742,395.9993
State,Arizona,04,<65,Sex,Female,2 to 3,0.2857,8778.3702,8959.1598,0.1127,969.919
State,Arizona,04,<65,Sex,Female,4 to 5,0.1793,16414.1923,17574.3678,0.183,1597.9107
State,Arizona,04,<65,Sex,Female,6+,0.1292,36550.8167,40199.4439,0.2734,3497.5845
State,Arizona,04,All,Sex,Female,0 to 1,0.3331,2361.4466,2387.7583,0.0541,164.6032
State,Arizona,04,All,Sex,Female,2 to 3,0.3183,5978.9916,6207.0901,0.06,392.2415
State,Arizona,04,All,Sex,Female,4 to 5,0.2121,11089.5069,11777.428,0.0993,745.3055
State,Arizona,04,All,Sex,Female,6+,0.1365,27372.5957,29688.2063,0.203,1890.8024
State,Arizona,04,65+,Sex,Male,0 to 1,0.3446,1769.123,1805.4789,0.0431,119.6535
State,Arizona,04,65+,Sex,Male,2 to 3,0.2875,5701.1881,5985.8012,0.0665,324.1283
State,Arizona,04,65+,Sex,Male,4 to 5,0.2197,10848.6157,11638.7455,0.0959,617.7366
State,Arizona,04,65+,Sex,Male,6+,0.1482,28927.2449,31650.8538,0.2093,1687.1952
State,Arizona,04,<65,Sex,Male,0 to 1,0.4845,1822.6668,1858.0033,0.069,274.7343
State,Arizona,04,<65,Sex,Male,2 to 3,0.2403,8287.2097,8701.8726,0.1073,814.2042
State,Arizona,04,<65,Sex,Male,4 to 5,0.1585,16390.6477,17553.7791,0.157,1361.8535
State,Arizona,04,<65,Sex,Male,6+,0.1168,42437.1271,47283.7232,0.3316,3582.3115
State,Arizona,04,All,Sex,Male,0 to 1,0.3594,1776.774,1812.9842,0.0488,141.8133
State,Arizona,04,All,Sex,Male,2 to 3,0.2825,5934.3775,6230.7176,0.0728,368.3199
State,Arizona,04,All,Sex,Male,4 to 5,0.2132,11285.3313,12104.8539,0.1036,676.3734
State,Arizona,04,All,Sex,Male,6+,0.1449,30081.861,32986.9101,0.2259,1849.1605
State,Arkansas,05,65+,All,All,0 to 1,0.3012,1858.0767,1613.9271,0.0477,126.7017
State,Arkansas,05,65+,All,All,2 to 3,0.2989,5375.6804,4922.2329,0.0648,336.7289
State,Arkansas,05,65+,All,All,4 to 5,0.2263,10836.2192,10105.3453,0.1056,688.1805
State,Arkansas,05,65+,All,All,6+,0.1736,29742.3342,27695.6436,0.2177,1859.131
State,Arkansas,05,65+,Dual Status,Medicare Only,0 to 1,0.3207,1860.9602,1607.4096,0.0442,119.4166
State,Arkansas,05,65+,Dual Status,Medicare Only,2 to 3,0.3089,5274.1418,4821.4639,0.0635,312.7929
State,Arkansas,05,65+,Dual Status,Medicare Only,4 to 5,0.2214,10561.219,9860.0962,0.1022,638.2738
State,Arkansas,05,65+,Dual Status,Medicare Only,6+,0.149,28409.5502,26485.7519,0.2106,1686.9132
State,Arkansas,05,65+,Dual Status,Medicare and Medicaid,0 to 1,0.1758,1824.2815,1690.3154,0.0781,212.0856
State,Arkansas,05,65+,Dual Status,Medicare and Medicaid,2 to 3,0.2351,6232.9682,5773.0235,0.0725,538.82
State,Arkansas,05,65+,Dual Status,Medicare and Medicaid,4 to 5,0.2576,12354.9993,11459.8146,0.1213,963.8071
State,Arkansas,05,65+,Dual Status,Medicare and Medicaid,6+,0.3316,33591.6299,31190.0064,0.2343,2356.5239
State,Arkansas,05,<65,All,All,0 to 1,0.413,2097.5777,1925.6129,0.0784,386.3176
State,Arkansas,05,<65,All,All,2 to 3,0.2756,6784.5841,6275.0932,0.1126,858.4667
State,Arkansas,05,<65,All,All,4 to 5,0.1808,12865.3943,12000.921,0.1533,1394.7302
State,Arkansas,05,<65,All,All,6+,0.1307,32651.2677,30765.768,0.2813,3306.3979
State,Arkansas,05,<65,Dual Status,Medicare Only,0 to 1,0.4405,1776.5417,1540.3106,0.0441,242.0287
State,Arkansas,05,<65,Dual Status,Medicare Only,2 to 3,0.2756,6331.606,5616.3106,0.0861,584.331
State,Arkansas,05,<65,Dual Status,Medicare Only,4 to 5,0.1772,12066.3098,10918.8947,0.1251,954.9562
State,Arkansas,05,<65,Dual Status,Medicare Only,6+,0.1068,30569.6359,28282.3779,0.2562,2388.2326
State,Arkansas,05,<65,Dual Status,Medicare and Medicaid,0 to 1,0.3883,2423.2226,2316.4466,0.0946,532.6779
State,Arkansas,05,<65,Dual Status,Medicare and Medicaid,2 to 3,0.2756,7189.6082,6864.1346,0.1303,1103.5813
State,Arkansas,05,<65,Dual Status,Medicare and Medicaid,4 to 5,0.184,13553.3379,12932.4534,0.1716,1773.338
State,Arkansas,05,<65,Dual Status,Medicare and Medicaid,6+,0.152,33958.8223,32325.6828,0.2943,3883.1336
State,Arkansas,05,All,All,All,0 to 1,0.323,1917.9453,1691.8399,0.0603,191.5985
State,Arkansas,05,All,All,All,2 to 3,0.2944,5633.5936,5169.8868,0.0779,432.2379
State,Arkansas,05,All,All,All,4 to 5,0.2174,11166.2589,10413.6553,0.1158,803.0988
State,Arkansas,05,All,All,All,6+,0.1652,30192.1977,28170.4351,0.2295,2082.9493
State,Arkansas,05,All,Dual Status,Medicare Only,0 to 1,0.3347,1847.9527,1597.0707,0.0442,138.3091
State,Arkansas,05,All,Dual Status,Medicare Only,2 to 3,0.305,5386.0115,4905.5511,0.0669,341.5191
State,Arkansas,05,All,Dual Status,Medicare Only,4 to 5,0.2162,10705.6305,9961.6865,0.1048,668.659
State,Arkansas,05,All,Dual Status,Medicare Only,6+,0.1441,28596.9838,26641.6476,0.2152,1747.7676
State,Arkansas,05,All,Dual Status,Medicare and Medicaid,0 to 1,0.2795,2230.304,2114.7701,0.0916,429.4153
State,Arkansas,05,All,Dual Status,Medicare and Medicaid,2 to 3,0.2548,6737.749,6348.7593,0.1081,836.822
State,Arkansas,05,All,Dual Status,Medicare and Medicaid,4 to 5,0.2217,12840.3994,12056.3229,0.1457,1291.7164
State,Arkansas,05,All,Dual Status,Medicare and Medicaid,6+,0.244,33703.274,31535.3064,0.2544,2820.6864
State,Arkansas,05,65+,Sex,Female,0 to 1,0.2816,2203.977,1846.9393,0.0421,135.2891
State,Arkansas,05,65+,Sex,Female,2 to 3,0.3156,5375.5627,4869.637,0.0623,348.9112
State,Arkansas,05,65+,Sex,Female,4 to 5,0.2267,10642.5341,9906.6249,0.1011,725.3532
State,Arkansas,05,65+,Sex,Female,6+,0.176,28970.4653,26925.297,0.2121,1921.1416
State,Arkansas,05,<65,Sex,Female,0 to 1,0.3571,2506.8638,2275.8209,0.093,465.8069
State,Arkansas,05,<65,Sex,Female,2 to 3,0.2972,6935.0578,6383.0336,0.1077,949.9364
State,Arkansas,05,<65,Sex,Female,4 to 5,0.2,12721.7294,11841.6246,0.1487,1499.6458
State,Arkansas,05,<65,Sex,Female,6+,0.1458,31733.5221,29851.8088,0.2748,3423.781
State,Arkansas,05,All,Sex,Female,0 to 1,0.2946,2267.2729,1936.565,0.0628,204.3592
State,Arkansas,05,All,Sex,Female,2 to 3,0.3125,5631.3089,5117.8234,0.074,447.4751
State,Arkansas,05,All,Sex,Female,4 to 5,0.2221,10965.3656,10207.0676,0.1106,845.5757
State,Arkansas,05,All,Sex,Female,6+,0.1708,29377.0917,27355.9783,0.2231,2142.2782
State,Arkansas,05,65+,Sex,Male,0 to 1,0.3267,1469.6431,1352.2628,0.0548,117.0584
State,Arkansas,05,65+,Sex,Male,2 to 3,0.2772,5375.8549,5000.2571,0.0683,318.6569
State,Arkansas,05,65+,Sex,Male,4 to 5,0.2256,11089.7762,10365.4939,0.1114,639.517
State,Arkansas,05,65+,Sex,Male,6+,0.1705,30780.4989,28731.7608,0.225,1775.7266
State,Arkansas,05,<65,Sex,Male,0 to 1,0.4656,1802.0615,1672.7527,0.0608,328.9241
State,Arkansas,05,<65,Sex,Male,2 to 3,0.2553,6619.6542,6156.7829,0.1185,758.2092
State,Arkansas,05,<65,Sex,Male,4 to 5,0.1627,13031.6751,12185.2939,0.1582,1273.2987
State,Arkansas,05,<65,Sex,Male,6+,0.1164,33733.0403,31843.0775,0.2887,3168.0351
State,Arkansas,05,All,Sex,Male,0 to 1,0.3578,1566.4511,1445.597,0.0573,178.7587
State,Arkansas,05,All,Sex,Male,2 to 3,0.2723,5636.797,5242.8897,0.0832,410.8725
State,Arkansas,05,All,Sex,Male,4 to 5,0.2115,11424.0068,10678.7094,0.1222,748.6006
State,Arkansas,05,All,Sex,Male,6+,0.1584,31266.2205,29243.6024,0.2377,2004.7748
State,California,06,65+,All,All,0 to 1,0.3318,1792.4142,2068.5187,0.0451,117.1654
State,California,06,65+,All,All,2 to 3,0.2848,5298.0098,6335.7828,0.0616,315.9089
State,California,06,65+,All,All,4 to 5,0.2125,10077.8778,12487.1972,0.096,609.713
State,California,06,65+,All,All,6+,0.1709,28574.6438,36796.1577,0.2194,1673.7649
State,California,06,65+,Dual Status,Medicare Only,0 to 1,0.3667,1854.212,2126.3877,0.0423,106.0118
State,California,06,65+,Dual Status,Medicare Only,2 to 3,0.2986,5407.4587,6424.6394,0.0585,289.6275
State,California,06,65+,Dual Status,Medicare Only,4 to 5,0.2021,10250.9868,12626.9414,0.0925,577.6929
State,California,06,65+,Dual Status,Medicare Only,6+,0.1327,26935.7449,34552.8076,0.2019,1560.0693
State,California,06,65+,Dual Status,Medicare and Medicaid,0 to 1,0.2191,1457.7383,1755.1196,0.0586,177.5696
State,California,06,65+,Dual Status,Medicare and Medicaid,2 to 3,0.2402,4857.7249,5978.3355,0.0742,421.6325
State,California,06,65+,Dual Status,Medicare and Medicaid,4 to 5,0.2463,9618.2121,12116.1267,0.1055,694.7376
State,California,06,65+,Dual Status,Medicare and Medicaid,6+,0.2944,30964.0817,40066.8571,0.242,1839.5276
State,California,06,<65,All,All,0 to 1,0.4266,2399.2553,2787.92,0.0819,348.3408
State,California,06,<65,All,All,2 to 3,0.2661,7941.7784,9674.4679,0.115,860.8935
State,California,06,<65,All,All,4 to 5,0.1716,15279.5283,19314.7527,0.161,1467.3027
State,California,06,<65,All,All,6+,0.1358,40819.7832,53188.1888,0.3165,3550.6133
State,California,06,<65,Dual Status,Medicare Only,0 to 1,0.5202,1864.6623,2040.1173,0.0743,185.2832
State,California,06,<65,Dual Status,Medicare Only,2 to 3,0.2531,7468.5271,8640.6395,0.0938,542.6887
State,California,06,<65,Dual Status,Medicare Only,4 to 5,0.1433,13613.9024,16524.156,0.1383,966.1153
State,California,06,<65,Dual Status,Medicare Only,6+,0.0834,32819.3943,42030.6292,0.2558,2329.4259
State,California,06,<65,Dual Status,Medicare and Medicaid,0 to 1,0.3852,2718.4541,3234.4236,0.0842,445.7005
State,California,06,<65,Dual Status,Medicare and Medicaid,2 to 3,0.2718,8136.6062,10100.0737,0.1221,991.8918
